Workload type	M	N	K	#MACs	AlgorithmicReuse
all-gemms	256	4096	1024	1073741824	195.04761904761904
all-gemms	256	4096	2048	2147483648	215.57894736842104
all-gemms	256	4096	4096	4294967296	227.55555555555554
all-gemms	256	4096	8192	8589934592	234.05714285714285
all-gemms	256	8192	16	33554432	15.03119266055046
all-gemms	256	8192	32	67108864	28.346020761245676
all-gemms	256	8192	64	134217728	50.88198757763975
all-gemms	256	8192	128	268435456	84.45360824742268
all-gemms	256	8192	256	536870912	126.03076923076924
all-gemms	256	8192	512	1073741824	167.18367346938774
all-gemms	256	8192	1024	2147483648	199.8048780487805
all-gemms	256	8192	2048	4294967296	221.40540540540542
all-gemms	256	8192	4096	8589934592	234.05714285714285
all-gemms	256	8192	8192	17179869184	240.94117647058823
all-gemms	512	16	16	131072	7.876923076923077
all-gemms	512	16	32	262144	10.448979591836734
all-gemms	512	16	64	524288	12.487804878048781
all-gemms	512	16	128	1048576	13.837837837837839
all-gemms	512	16	256	2097152	14.628571428571428
all-gemms	512	16	512	4194304	15.058823529411764
all-gemms	512	16	1024	8388608	15.283582089552239
all-gemms	512	16	2048	16777216	15.398496240601503
all-gemms	512	16	4096	33554432	15.456603773584906
all-gemms	512	16	8192	67108864	15.485822306238186
all-gemms	512	32	16	262144	10.448979591836734
all-gemms	512	32	32	524288	15.515151515151516
all-gemms	512	32	64	1048576	20.48
all-gemms	512	32	128	2097152	24.38095238095238
all-gemms	512	32	256	4194304	26.94736842105263
all-gemms	512	32	512	8388608	28.444444444444443
all-gemms	512	32	1024	16777216	29.257142857142856
all-gemms	512	32	2048	33554432	29.681159420289855
all-gemms	512	32	4096	67108864	29.8978102189781
all-gemms	512	32	8192	134217728	30.007326007326007
all-gemms	512	64	16	524288	12.487804878048781
all-gemms	512	64	32	1048576	20.48
all-gemms	512	64	64	2097152	30.11764705882353
all-gemms	512	64	128	4194304	39.38461538461539
all-gemms	512	64	256	8388608	46.54545454545455
all-gemms	512	64	512	16777216	51.2
all-gemms	512	64	1024	33554432	53.89473684210526
all-gemms	512	64	2048	67108864	55.351351351351354
all-gemms	512	64	4096	134217728	56.10958904109589
all-gemms	512	64	8192	268435456	56.49655172413793
all-gemms	512	128	16	1048576	13.837837837837839
all-gemms	512	128	32	2097152	24.38095238095238
all-gemms	512	128	64	4194304	39.38461538461539
all-gemms	512	128	128	8388608	56.888888888888886
all-gemms	512	128	256	16777216	73.14285714285714
all-gemms	512	128	512	33554432	85.33333333333333
all-gemms	512	128	1024	67108864	93.0909090909091
all-gemms	512	128	2048	134217728	97.52380952380952
all-gemms	512	128	4096	268435456	99.90243902439025
all-gemms	512	128	8192	536870912	101.1358024691358
all-gemms	512	256	16	2097152	14.628571428571428
all-gemms	512	256	32	4194304	26.94736842105263
all-gemms	512	256	64	8388608	46.54545454545455
all-gemms	512	256	128	16777216	73.14285714285714
all-gemms	512	256	256	33554432	102.4
all-gemms	512	256	512	67108864	128.0
all-gemms	512	256	1024	134217728	146.28571428571428
all-gemms	512	256	2048	268435456	157.53846153846155
all-gemms	512	256	4096	536870912	163.84
all-gemms	512	256	8192	1073741824	167.18367346938774
all-gemms	512	512	16	4194304	15.058823529411764
all-gemms	512	512	32	8388608	28.444444444444443
all-gemms	512	512	64	16777216	51.2
all-gemms	512	512	128	33554432	85.33333333333333
all-gemms	512	512	256	67108864	128.0
all-gemms	512	512	512	134217728	170.66666666666666
all-gemms	512	512	1024	268435456	204.8
all-gemms	512	512	2048	536870912	227.55555555555554
all-gemms	512	512	4096	1073741824	240.94117647058823
all-gemms	512	512	8192	2147483648	248.24242424242425
all-gemms	512	1024	16	8388608	15.283582089552239
all-gemms	512	1024	32	16777216	29.257142857142856
all-gemms	512	1024	64	33554432	53.89473684210526
all-gemms	512	1024	128	67108864	93.0909090909091
all-gemms	512	1024	256	134217728	146.28571428571428
all-gemms	512	1024	512	268435456	204.8
all-gemms	512	1024	1024	536870912	256.0
all-gemms	512	1024	2048	1073741824	292.57142857142856
all-gemms	512	1024	4096	2147483648	315.0769230769231
all-gemms	512	1024	8192	4294967296	327.68
all-gemms	512	2048	16	16777216	15.398496240601503
all-gemms	512	2048	32	33554432	29.681159420289855
all-gemms	512	2048	64	67108864	55.351351351351354
